Team,R32,S16,E8,FF,Championship,Champion
Duke,98.45%,94.03%,78.46%,63.13%,47.53%,28.37%
Arizona,96.65%,91.38%,76.82%,59.10%,41.37%,21.92%
Michigan,96.55%,91.95%,80.82%,60.18%,27.99%,14.29%
Florida,97.05%,89.99%,76.30%,41%,13.65%,6.28%
Houston,95.27%,85.73%,62.61%,35.77%,14.15%,5.74%
Connecticut,96.88%,80.40%,49.91%,13.75%,7.19%,3.53%
Purdue,95.70%,81.16%,52.79%,15.66%,7.26%,3.08%
Iowa St.,93.96%,75.93%,54.31%,18.65%,5.37%,2.01%
Gonzaga,93.95%,68.16%,29.88%,9.41%,4.55%,1.82%
Michigan St.,95.68%,77.44%,36.41%,9.25%,4.11%,1.42%
Kansas,94.99%,42.15%,7.76%,4.06%,2.31%,1.41%
Illinois,92.59%,67.44%,21.85%,10.21%,3.40%,1.23%
Arkansas,90.95%,58.28%,10.73%,6.38%,2.86%,1.22%
St. John's,88.30%,53.96%,9.99%,5.37%,2.29%,1.05%
Wisconsin,82.85%,34.94%,6.41%,2.77%,1.39%,0.83%
Virginia,93.22%,63.82%,24.60%,7.08%,2.18%,0.74%
North Carolina,67.68%,23.99%,9.01%,3.67%,0.88%,0.44%
Alabama,87.84%,54.21%,9.21%,3.99%,1.20%,0.44%
Kentucky,66.78%,16.87%,7.39%,2.66%,1.43%,0.34%
Nebraska,86.57%,35.70%,6.01%,1.80%,0.59%,0.27%
BYU,79.91%,24.81%,8.53%,1.49%,0.66%,0.26%
Vanderbilt,83.20%,55.95%,10.78%,2.78%,0.73%,0.26%
UCLA,68.30%,15.32%,6.03%,0.95%,0.45%,0.25%
Tennessee,85.65%,30.19%,9.32%,1.83%,0.59%,0.23%
Texas Tech,74.86%,34.88%,4.77%,1.74%,0.56%,0.21%
Ohio St.,60.07%,3.28%,1.71%,0.99%,0.32%,0.19%
Miami FL,61.75%,11.95%,4.54%,1.25%,0.42%,0.17%
Penn,5.49%,1.81%,0.70%,0.43%,0.27%,0.17%
Villanova,53.79%,4.50%,2.40%,0.76%,0.37%,0.15%
Louisville,62.04%,14.57%,4.51%,0.64%,0.25%,0.11%
Georgia,55.08%,3.43%,1.23%,0.53%,0.22%,0.10%
Texas A&M,44.35%,5.68%,1.33%,0.47%,0.18%,0.08%
Clemson,42.02%,3.12%,1.46%,0.54%,0.18%,0.08%
Iowa,55.85%,4.67%,2.64%,0.46%,0.17%,0.08%
Saint Louis,42.43%,2.09%,0.96%,0.37%,0.14%,0.07%
Saint Mary's,53.48%,5.96%,1.78%,0.56%,0.16%,0.06%
Hawaii,6.95%,2.09%,0.53%,0.24%,0.12%,0.06%
LIU,1.56%,0.71%,0.38%,0.22%,0.12%,0.06%
Missouri,35.90%,4.12%,1.09%,0.30%,0.12%,0.06%
Miami OH,11.81%,2.68%,0.66%,0.23%,0.10%,0.05%
Utah St.,43.92%,1.67%,0.63%,0.24%,0.10%,0.05%
Santa Clara,30.78%,3.73%,1.02%,0.27%,0.10%,0.05%
South Florida,36.95%,6.13%,1.13%,0.27%,0.10%,0.05%
TCU,39.12%,1.58%,0.58%,0.25%,0.11%,0.05%
Akron,22.75%,6.52%,0.51%,0.21%,0.09%,0.04%
VCU,30.23%,5.05%,0.76%,0.23%,0.09%,0.04%
Texas,17.49%,3.54%,0.65%,0.21%,0.09%,0.04%
Siena,1.32%,0.61%,0.32%,0.19%,0.10%,0.04%
McNeese,14.78%,4.59%,0.57%,0.23%,0.09%,0.04%
Howard,1.48%,0.65%,0.34%,0.19%,0.08%,0.04%
UCF,30.81%,2.77%,0.73%,0.19%,0.08%,0.04%
Kennesaw St.,3.99%,1.48%,0.32%,0.13%,0.06%,0.03%
Idaho,2.95%,0.99%,0.45%,0.16%,0.07%,0.03%
High Point,15%,2.81%,0.47%,0.19%,0.08%,0.03%
Cal Baptist,4.40%,1.09%,0.32%,0.14%,0.06%,0.03%
Furman,2.59%,0.87%,0.40%,0.14%,0.06%,0.03%
Hofstra,9.86%,2.37%,0.42%,0.18%,0.08%,0.03%
Northern Iowa,11.05%,2.17%,0.40%,0.17%,0.07%,0.03%
Texas,9.73%,1.90%,0.37%,0.13%,0.05%,0.03%
North Dakota St.,3.70%,1.20%,0.34%,0.13%,0.06%,0.03%
Prairie View A&M,1.30%,0.58%,0.31%,0.18%,0.07%,0.03%
Queens,2.34%,0.92%,0.44%,0.16%,0.07%,0.03%
Troy,11.40%,2.02%,0.40%,0.16%,0.06%,0.03%
Tennessee St.,3.91%,1.54%,0.48%,0.17%,0.07%,0.03%
Wright St.,4.49%,1.24%,0.36%,0.14%,0.06%,0.03%
Howard,0.84%,0.37%,0.19%,0.11%,0.05%,0.02%
